id,owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
3112748,User,https://api.github.com/users/leereilly,https://github.com/leereilly,https://github.com/leereilly/games,https://api.github.com/repos/leereilly/games,False,2012-01-05T19:48:55Z,2019-07-02T09:04:43Z,510,13045,,True,False,1798,1798,236,13045,,,
12488374,User,https://api.github.com/users/hzlzh,https://github.com/hzlzh,https://github.com/hzlzh/Best-App,https://api.github.com/repos/hzlzh/Best-App,False,2013-08-30T14:32:19Z,2019-07-02T12:20:30Z,250,13035,,True,True,1709,1709,32,13035,,,
150042589,Organization,https://api.github.com/users/nostalgic-css,https://github.com/nostalgic-css,https://github.com/nostalgic-css/NES.css,https://api.github.com/repos/nostalgic-css/NES.css,False,2018-09-24T01:49:11Z,2019-07-02T09:42:10Z,2330,13030,CSS,True,True,1099,1099,27,13030,,,
76222419,Organization,https://api.github.com/users/Tencent,https://github.com/Tencent,https://github.com/Tencent/mars,https://api.github.com/repos/Tencent/mars,False,2016-12-12T04:39:54Z,2019-07-02T14:11:32Z,171953,13009,C++,True,True,2590,2590,91,13009,,,
25050844,Organization,https://api.github.com/users/Carthage,https://github.com/Carthage,https://github.com/Carthage/Carthage,https://api.github.com/repos/Carthage/Carthage,False,2014-10-10T19:54:55Z,2019-07-01T08:09:21Z,19015,12985,Swift,True,False,1277,1277,149,12985,,,
21561301,User,https://api.github.com/users/acgotaku,https://github.com/acgotaku,https://github.com/acgotaku/BaiduExporter,https://api.github.com/repos/acgotaku/BaiduExporter,False,2014-07-07T07:37:07Z,2019-07-02T14:51:51Z,5801,12967,JavaScript,True,True,1978,1978,5,12967,,,
4008931,User,https://api.github.com/users/StevenBlack,https://github.com/StevenBlack,https://github.com/StevenBlack/hosts,https://api.github.com/repos/StevenBlack/hosts,False,2012-04-12T20:22:50Z,2019-07-02T16:48:12Z,99619,12962,Python,True,True,1142,1142,53,12962,,,
712530,Organization,https://api.github.com/users/fabricjs,https://github.com/fabricjs,https://github.com/fabricjs/fabric.js,https://api.github.com/repos/fabricjs/fabric.js,False,2010-06-09T22:24:38Z,2019-07-02T15:44:28Z,122952,12942,JavaScript,True,True,2113,2113,366,12942,,,
3431193,Organization,https://api.github.com/users/yiisoft,https://github.com/yiisoft,https://github.com/yiisoft/yii2,https://api.github.com/repos/yiisoft/yii2,False,2012-02-13T15:32:36Z,2019-07-02T14:31:00Z,73106,12935,PHP,True,True,6782,6782,522,12935,,,
31168578,User,https://api.github.com/users/hemanth,https://github.com/hemanth,https://github.com/hemanth/functional-programming-jargon,https://api.github.com/repos/hemanth/functional-programming-jargon,False,2015-02-22T16:04:42Z,2019-07-02T11:28:23Z,333,12929,,True,True,755,755,23,12929,,,
